sl no,Crop,Latitude,Longitude,LAI,band1
"29",Wheat,32.146515000000001,76.453751940000004,0.587000000000000,-0.025465602055192
"30",Wheat,32.148304580000001,76.450951549999999,0.800000000000000,0.015584415756166
"31",Wheat,32.161142779999999,76.458388060000004,0.937000000000000,-0.0383059717714787
"32",Wheat,32.177651390000001,76.406014999999996,0.660000000000000,-0.0711641311645508
"33",Wheat,32.157300560000003,76.399121670000000,0.917000000000000,0.491105109453201
"34",Wheat,32.155198059999996,76.419407780000000,1.513000000000000,-0.0349402911961079
"35",Wheat,32.146821670000001,76.423155280000003,1.530000000000000,0.186977565288544
"36",Wheat,32.135978330000000,76.400866940000000,2.193000000000000,-0.0389518402516842
"37",Wheat,32.096479719999998,76.390486670000001,0.637000000000000,0.257056444883347
"38",Wheat,32.120877219999997,76.418530829999995,0.997000000000000,0.260990530252457
"39",Wheat,32.085302499999997,76.497532219999997,2.530000000000000,0.223280429840088
"40",Wheat,32.106685280000001,76.405149440000002,1.903000000000000,0.420195430517197
"41",Wheat,32.125647499999999,76.388788610000006,1.900000000000000,0.02214022167027
"42",Wheat,32.121203059999999,76.378074999999995,1.940000000000000,0.114849559962749
"43",Wheat,32.099990560000002,76.359221109999993,1.940000000000000,0.219380885362625
"44",Wheat,32.106543610000003,76.290377500000005,3.010000000000000,0.539398014545441
"45",Wheat,32.139399720000000,76.294204170000000,2.643000000000000,-0.0208248272538185
"46",Wheat,32.187203889999999,76.313919999999996,1.760000000000000,0.233180925250053
"47",Wheat,32.168256390000003,76.307426669999998,2.777000000000000,0.223873764276505
"48",Wheat,32.173503330000003,76.315056389999995,2.390000000000000,0.524595379829407
"49",Wheat,32.178245560000001,76.319218329999998,1.600000000000000,0.276048362255096
"50",Wheat,32.277224169999997,76.201196940000003,0.530000000000000,-0.0213657319545746
"51",Wheat,32.307891110000000,76.183288329999996,1.707000000000000,0.550255537033081
"52",Wheat,32.274535960000001,76.208598640000005,1.300000000000000,0.131501063704491
"53",Wheat,32.249164999999998,76.199828609999997,1.050000000000000,0.415783286094666
"54",Wheat,32.228097220000002,76.188799169999996,1.637000000000000,0.384884387254715
"55",Wheat,32.221860560000003,76.203751389999994,1.903000000000000,0.0897009968757629
"56",Wheat,32.203891390000003,76.207867219999997,2.567000000000000,0.297531872987747
"57",Wheat,32.181978890000003,76.206697779999999,1.827000000000000,0.083956778049469
"58",Wheat,32.188840829999997,76.188281110000005,3.833000000000000,0.610219836235046
"59",Wheat,32.232278059999999,76.174813330000006,1.177000000000000,0.322842627763748
"60",Wheat,32.213966669999998,76.186734720000004,1.287000000000000,0.52423757314682
"61",Wheat,32.058190279999998,76.257821669999998,1.620000000000000,0.47524419426918
"62",Wheat,32.062017220000001,76.237376389999994,1.520000000000000,0.20768466591835
"63",Wheat,32.024643330000004,76.213969440000000,1.900000000000000,0.395909816026688
"64",Wheat,32.052680000000002,76.184414169999997,1.767000000000000,0.0520101226866245
"65",Wheat,32.086891389999998,76.164576389999993,0.910000000000000,0.377205163240433
"66",Wheat,32.112503330000003,76.142240830000006,2.073000000000000,0.287739783525467
"67",Wheat,32.133446939999999,76.112693609999994,2.140000000000000,0.144663259387016
"68",Wheat,32.110759170000001,76.158566669999999,2.747000000000000,0.268222957849503
"69",Wheat,32.121342779999999,76.204351110000005,1.217000000000000,0.438265115022659
"70",Wheat,32.132704169999997,76.263479169999997,2.737000000000000,0.198883026838303
"71",Wheat,32.158355829999998,76.247483329999994,1.753000000000000,0.203846156597137
"72",Wheat,32.158500279999998,76.229781669999994,2.367000000000000,0.559926271438599
"73",Wheat,32.163968060000002,76.310816669999994,3.450000000000000,0.490304708480835
"74",Wheat,32.193293330000003,76.346056669999996,2.560000000000000,0.282964378595352
"75",Wheat,32.114768060000003,76.416218060000006,1.348000000000000,-0.0111150946468115
